Date,GEO,value,Age,Sex
2018-02-17,New Brunswick,25,85 years and over,Males
2018-02-17,New Brunswick,30,85 years and over,Females
2018-02-24,New Brunswick,160,all ages,Both sexes
2018-02-24,New Brunswick,80,all ages,Males
2018-02-24,New Brunswick,80,all ages,Females
2018-02-24,New Brunswick,10,0 to 44 years,Both sexes
2018-02-24,New Brunswick,5,0 to 44 years,Males
2018-02-24,New Brunswick,5,0 to 44 years,Females
2018-02-24,New Brunswick,20,45 to 64 years,Both sexes
2018-02-24,New Brunswick,15,45 to 64 years,Males
2018-02-24,New Brunswick,10,45 to 64 years,Females
2018-02-24,New Brunswick,70,65 to 84 years,Both sexes
2018-02-24,New Brunswick,45,65 to 84 years,Males
2018-02-24,New Brunswick,30,65 to 84 years,Females
2018-02-24,New Brunswick,55,85 years and over,Both sexes
2018-02-24,New Brunswick,20,85 years and over,Males
2018-02-24,New Brunswick,35,85 years and over,Females
2018-03-03,New Brunswick,145,all ages,Both sexes
2018-03-03,New Brunswick,65,all ages,Males
2018-03-03,New Brunswick,80,all ages,Females
2018-03-03,New Brunswick,5,0 to 44 years,Both sexes
2018-03-03,New Brunswick,5,0 to 44 years,Males
2018-03-03,New Brunswick,0,0 to 44 years,Females
2018-03-03,New Brunswick,20,45 to 64 years,Both sexes
2018-03-03,New Brunswick,15,45 to 64 years,Males
2018-03-03,New Brunswick,5,45 to 64 years,Females
2018-03-03,New Brunswick,65,65 to 84 years,Both sexes
2018-03-03,New Brunswick,30,65 to 84 years,Males
2018-03-03,New Brunswick,35,65 to 84 years,Females
2018-03-03,New Brunswick,55,85 years and over,Both sexes
2018-03-03,New Brunswick,20,85 years and over,Males
2018-03-03,New Brunswick,40,85 years and over,Females
2018-03-10,New Brunswick,140,all ages,Both sexes
2018-03-10,New Brunswick,75,all ages,Males
2018-03-10,New Brunswick,65,all ages,Females
2018-03-10,New Brunswick,0,0 to 44 years,Both sexes
2018-03-10,New Brunswick,0,0 to 44 years,Males
2018-03-10,New Brunswick,0,0 to 44 years,Females
2018-03-10,New Brunswick,25,45 to 64 years,Both sexes
2018-03-10,New Brunswick,10,45 to 64 years,Males
2018-03-10,New Brunswick,10,45 to 64 years,Females
2018-03-10,New Brunswick,65,65 to 84 years,Both sexes
2018-03-10,New Brunswick,40,65 to 84 years,Males
2018-03-10,New Brunswick,25,65 to 84 years,Females
2018-03-10,New Brunswick,50,85 years and over,Both sexes
2018-03-10,New Brunswick,25,85 years and over,Males
2018-03-10,New Brunswick,30,85 years and over,Females
2018-03-17,New Brunswick,155,all ages,Both sexes
2018-03-17,New Brunswick,85,all ages,Males
2018-03-17,New Brunswick,75,all ages,Females
2018-03-17,New Brunswick,5,0 to 44 years,Both sexes
2018-03-17,New Brunswick,5,0 to 44 years,Males
2018-03-17,New Brunswick,0,0 to 44 years,Females
2018-03-17,New Brunswick,20,45 to 64 years,Both sexes
2018-03-17,New Brunswick,15,45 to 64 years,Males
2018-03-17,New Brunswick,5,45 to 64 years,Females
2018-03-17,New Brunswick,70,65 to 84 years,Both sexes
2018-03-17,New Brunswick,40,65 to 84 years,Males
2018-03-17,New Brunswick,30,65 to 84 years,Females
2018-03-17,New Brunswick,55,85 years and over,Both sexes
2018-03-17,New Brunswick,20,85 years and over,Males
2018-03-17,New Brunswick,35,85 years and over,Females
2018-03-24,New Brunswick,180,all ages,Both sexes
2018-03-24,New Brunswick,100,all ages,Males
2018-03-24,New Brunswick,75,all ages,Females
2018-03-24,New Brunswick,10,0 to 44 years,Both sexes
2018-03-24,New Brunswick,5,0 to 44 years,Males
2018-03-24,New Brunswick,5,0 to 44 years,Females
2018-03-24,New Brunswick,35,45 to 64 years,Both sexes
2018-03-24,New Brunswick,25,45 to 64 years,Males
2018-03-24,New Brunswick,10,45 to 64 years,Females
2018-03-24,New Brunswick,85,65 to 84 years,Both sexes
2018-03-24,New Brunswick,50,65 to 84 years,Males
2018-03-24,New Brunswick,35,65 to 84 years,Females
2018-03-24,New Brunswick,60,85 years and over,Both sexes
2018-03-24,New Brunswick,25,85 years and over,Males
2018-03-24,New Brunswick,35,85 years and over,Females
2018-03-31,New Brunswick,160,all ages,Both sexes
2018-03-31,New Brunswick,75,all ages,Males
2018-03-31,New Brunswick,85,all ages,Females
2018-03-31,New Brunswick,5,0 to 44 years,Both sexes
2018-03-31,New Brunswick,0,0 to 44 years,Males
2018-03-31,New Brunswick,0,0 to 44 years,Females
2018-03-31,New Brunswick,30,45 to 64 years,Both sexes
2018-03-31,New Brunswick,20,45 to 64 years,Males
2018-03-31,New Brunswick,15,45 to 64 years,Females
2018-03-31,New Brunswick,60,65 to 84 years,Both sexes
2018-03-31,New Brunswick,40,65 to 84 years,Males
2018-03-31,New Brunswick,20,65 to 84 years,Females
2018-03-31,New Brunswick,60,85 years and over,Both sexes
2018-03-31,New Brunswick,20,85 years and over,Males
2018-03-31,New Brunswick,40,85 years and over,Females
2018-04-07,New Brunswick,160,all ages,Both sexes
2018-04-07,New Brunswick,80,all ages,Males
2018-04-07,New Brunswick,80,all ages,Females
2018-04-07,New Brunswick,5,0 to 44 years,Both sexes
2018-04-07,New Brunswick,0,0 to 44 years,Males
2018-04-07,New Brunswick,0,0 to 44 years,Females
2018-04-07,New Brunswick,25,45 to 64 years,Both sexes
2018-04-07,New Brunswick,15,45 to 64 years,Males
2018-04-07,New Brunswick,10,45 to 64 years,Females
2018-04-07,New Brunswick,70,65 to 84 years,Both sexes
2018-04-07,New Brunswick,45,65 to 84 years,Males
2018-04-07,New Brunswick,25,65 to 84 years,Females
2018-04-07,New Brunswick,60,85 years and over,Both sexes
2018-04-07,New Brunswick,20,85 years and over,Males
2018-04-07,New Brunswick,40,85 years and over,Females
2018-04-14,New Brunswick,160,all ages,Both sexes
2018-04-14,New Brunswick,80,all ages,Males
2018-04-14,New Brunswick,75,all ages,Females
2018-04-14,New Brunswick,5,0 to 44 years,Both sexes
2018-04-14,New Brunswick,0,0 to 44 years,Males
2018-04-14,New Brunswick,0,0 to 44 years,Females
2018-04-14,New Brunswick,20,45 to 64 years,Both sexes
2018-04-14,New Brunswick,15,45 to 64 years,Males
2018-04-14,New Brunswick,10,45 to 64 years,Females
2018-04-14,New Brunswick,80,65 to 84 years,Both sexes
2018-04-14,New Brunswick,45,65 to 84 years,Males
2018-04-14,New Brunswick,35,65 to 84 years,Females
2018-04-14,New Brunswick,60,85 years and over,Both sexes
2018-04-14,New Brunswick,20,85 years and over,Males
2018-04-14,New Brunswick,30,85 years and over,Females
2018-04-21,New Brunswick,150,all ages,Both sexes
2018-04-21,New Brunswick,80,all ages,Males
2018-04-21,New Brunswick,70,all ages,Females
2018-04-21,New Brunswick,0,0 to 44 years,Both sexes
2018-04-21,New Brunswick,0,0 to 44 years,Males
2018-04-21,New Brunswick,5,0 to 44 years,Females
2018-04-21,New Brunswick,20,45 to 64 years,Both sexes
2018-04-21,New Brunswick,10,45 to 64 years,Males
2018-04-21,New Brunswick,10,45 to 64 years,Females
2018-04-21,New Brunswick,75,65 to 84 years,Both sexes
2018-04-21,New Brunswick,40,65 to 84 years,Males
2018-04-21,New Brunswick,35,65 to 84 years,Females
2018-04-21,New Brunswick,50,85 years and over,Both sexes
2018-04-21,New Brunswick,20,85 years and over,Males
2018-04-21,New Brunswick,30,85 years and over,Females
2018-04-28,New Brunswick,140,all ages,Both sexes
2018-04-28,New Brunswick,75,all ages,Males
2018-04-28,New Brunswick,65,all ages,Females
2018-04-28,New Brunswick,5,0 to 44 years,Both sexes
2018-04-28,New Brunswick,5,0 to 44 years,Males
2018-04-28,New Brunswick,0,0 to 44 years,Females
2018-04-28,New Brunswick,25,45 to 64 years,Both sexes
2018-04-28,New Brunswick,15,45 to 64 years,Males
2018-04-28,New Brunswick,10,45 to 64 years,Females
2018-04-28,New Brunswick,70,65 to 84 years,Both sexes
2018-04-28,New Brunswick,45,65 to 84 years,Males
2018-04-28,New Brunswick,25,65 to 84 years,Females
2018-04-28,New Brunswick,40,85 years and over,Both sexes
2018-04-28,New Brunswick,15,85 years and over,Males
2018-04-28,New Brunswick,30,85 years and over,Females
2018-05-05,New Brunswick,160,all ages,Both sexes
2018-05-05,New Brunswick,85,all ages,Males
2018-05-05,New Brunswick,75,all ages,Females
2018-05-05,New Brunswick,5,0 to 44 years,Both sexes
2018-05-05,New Brunswick,5,0 to 44 years,Males
2018-05-05,New Brunswick,0,0 to 44 years,Females
2018-05-05,New Brunswick,15,45 to 64 years,Both sexes
2018-05-05,New Brunswick,10,45 to 64 years,Males
2018-05-05,New Brunswick,10,45 to 64 years,Females
2018-05-05,New Brunswick,75,65 to 84 years,Both sexes
2018-05-05,New Brunswick,45,65 to 84 years,Males
2018-05-05,New Brunswick,35,65 to 84 years,Females
2018-05-05,New Brunswick,65,85 years and over,Both sexes
2018-05-05,New Brunswick,30,85 years and over,Males
2018-05-05,New Brunswick,35,85 years and over,Females
2018-05-12,New Brunswick,160,all ages,Both sexes
2018-05-12,New Brunswick,85,all ages,Males
2018-05-12,New Brunswick,75,all ages,Females
2018-05-12,New Brunswick,5,0 to 44 years,Both sexes
2018-05-12,New Brunswick,5,0 to 44 years,Males
2018-05-12,New Brunswick,5,0 to 44 years,Females
2018-05-12,New Brunswick,30,45 to 64 years,Both sexes
2018-05-12,New Brunswick,20,45 to 64 years,Males
2018-05-12,New Brunswick,10,45 to 64 years,Females
2018-05-12,New Brunswick,75,65 to 84 years,Both sexes
2018-05-12,New Brunswick,40,65 to 84 years,Males
2018-05-12,New Brunswick,30,65 to 84 years,Females
2018-05-12,New Brunswick,50,85 years and over,Both sexes
2018-05-12,New Brunswick,20,85 years and over,Males
2018-05-12,New Brunswick,30,85 years and over,Females
2018-05-19,New Brunswick,145,all ages,Both sexes
2018-05-19,New Brunswick,70,all ages,Males
2018-05-19,New Brunswick,75,all ages,Females
2018-05-19,New Brunswick,5,0 to 44 years,Both sexes
2018-05-19,New Brunswick,5,0 to 44 years,Males
2018-05-19,New Brunswick,5,0 to 44 years,Females
2018-05-19,New Brunswick,25,45 to 64 years,Both sexes
2018-05-19,New Brunswick,15,45 to 64 years,Males
2018-05-19,New Brunswick,15,45 to 64 years,Females
2018-05-19,New Brunswick,55,65 to 84 years,Both sexes
2018-05-19,New Brunswick,35,65 to 84 years,Males
2018-05-19,New Brunswick,25,65 to 84 years,Females
2018-05-19,New Brunswick,55,85 years and over,Both sexes
2018-05-19,New Brunswick,20,85 years and over,Males
2018-05-19,New Brunswick,35,85 years and over,Females
2018-05-26,New Brunswick,140,all ages,Both sexes
2018-05-26,New Brunswick,70,all ages,Males
2018-05-26,New Brunswick,70,all ages,Females
2018-05-26,New Brunswick,10,0 to 44 years,Both sexes
2018-05-26,New Brunswick,0,0 to 44 years,Males
2018-05-26,New Brunswick,0,0 to 44 years,Females
2018-05-26,New Brunswick,20,45 to 64 years,Both sexes
2018-05-26,New Brunswick,10,45 to 64 years,Males
2018-05-26,New Brunswick,10,45 to 64 years,Females
2018-05-26,New Brunswick,70,65 to 84 years,Both sexes
2018-05-26,New Brunswick,35,65 to 84 years,Males
2018-05-26,New Brunswick,35,65 to 84 years,Females
2018-05-26,New Brunswick,40,85 years and over,Both sexes
2018-05-26,New Brunswick,15,85 years and over,Males
2018-05-26,New Brunswick,25,85 years and over,Females
2018-06-02,New Brunswick,145,all ages,Both sexes
2018-06-02,New Brunswick,80,all ages,Males
2018-06-02,New Brunswick,65,all ages,Females
2018-06-02,New Brunswick,5,0 to 44 years,Both sexes
2018-06-02,New Brunswick,0,0 to 44 years,Males
2018-06-02,New Brunswick,5,0 to 44 years,Females
2018-06-02,New Brunswick,25,45 to 64 years,Both sexes
2018-06-02,New Brunswick,15,45 to 64 years,Males
2018-06-02,New Brunswick,10,45 to 64 years,Females
2018-06-02,New Brunswick,65,65 to 84 years,Both sexes
2018-06-02,New Brunswick,40,65 to 84 years,Males
2018-06-02,New Brunswick,25,65 to 84 years,Females
2018-06-02,New Brunswick,50,85 years and over,Both sexes
2018-06-02,New Brunswick,25,85 years and over,Males
2018-06-02,New Brunswick,30,85 years and over,Females
2018-06-09,New Brunswick,155,all ages,Both sexes
2018-06-09,New Brunswick,80,all ages,Males
2018-06-09,New Brunswick,75,all ages,Females
2018-06-09,New Brunswick,0,0 to 44 years,Both sexes
2018-06-09,New Brunswick,5,0 to 44 years,Males
2018-06-09,New Brunswick,5,0 to 44 years,Females
2018-06-09,New Brunswick,35,45 to 64 years,Both sexes
2018-06-09,New Brunswick,20,45 to 64 years,Males
2018-06-09,New Brunswick,10,45 to 64 years,Females
2018-06-09,New Brunswick,70,65 to 84 years,Both sexes
2018-06-09,New Brunswick,40,65 to 84 years,Males
2018-06-09,New Brunswick,35,65 to 84 years,Females
2018-06-09,New Brunswick,45,85 years and over,Both sexes
2018-06-09,New Brunswick,20,85 years and over,Males
2018-06-09,New Brunswick,25,85 years and over,Females
2018-06-16,New Brunswick,130,all ages,Both sexes
2018-06-16,New Brunswick,70,all ages,Males
2018-06-16,New Brunswick,60,all ages,Females
2018-06-16,New Brunswick,0,0 to 44 years,Both sexes
2018-06-16,New Brunswick,0,0 to 44 years,Males
2018-06-16,New Brunswick,0,0 to 44 years,Females
2018-06-16,New Brunswick,20,45 to 64 years,Both sexes
2018-06-16,New Brunswick,20,45 to 64 years,Males
2018-06-16,New Brunswick,10,45 to 64 years,Females
2018-06-16,New Brunswick,60,65 to 84 years,Both sexes
2018-06-16,New Brunswick,40,65 to 84 years,Males
2018-06-16,New Brunswick,25,65 to 84 years,Females
2018-06-16,New Brunswick,45,85 years and over,Both sexes
2018-06-16,New Brunswick,15,85 years and over,Males
2018-06-16,New Brunswick,30,85 years and over,Females
2018-06-23,New Brunswick,150,all ages,Both sexes
2018-06-23,New Brunswick,60,all ages,Males
2018-06-23,New Brunswick,85,all ages,Females
2018-06-23,New Brunswick,0,0 to 44 years,Both sexes
2018-06-23,New Brunswick,0,0 to 44 years,Males
2018-06-23,New Brunswick,0,0 to 44 years,Females
2018-06-23,New Brunswick,15,45 to 64 years,Both sexes
2018-06-23,New Brunswick,5,45 to 64 years,Males
2018-06-23,New Brunswick,10,45 to 64 years,Females
2018-06-23,New Brunswick,70,65 to 84 years,Both sexes
2018-06-23,New Brunswick,40,65 to 84 years,Males
2018-06-23,New Brunswick,35,65 to 84 years,Females
2018-06-23,New Brunswick,55,85 years and over,Both sexes
2018-06-23,New Brunswick,15,85 years and over,Males
2018-06-23,New Brunswick,45,85 years and over,Females
2018-06-30,New Brunswick,125,all ages,Both sexes
2018-06-30,New Brunswick,60,all ages,Males
2018-06-30,New Brunswick,60,all ages,Females
2018-06-30,New Brunswick,5,0 to 44 years,Both sexes
2018-06-30,New Brunswick,5,0 to 44 years,Males
2018-06-30,New Brunswick,5,0 to 44 years,Females
2018-06-30,New Brunswick,20,45 to 64 years,Both sexes
2018-06-30,New Brunswick,15,45 to 64 years,Males
2018-06-30,New Brunswick,10,45 to 64 years,Females
2018-06-30,New Brunswick,50,65 to 84 years,Both sexes
2018-06-30,New Brunswick,25,65 to 84 years,Males
2018-06-30,New Brunswick,20,65 to 84 years,Females
2018-06-30,New Brunswick,40,85 years and over,Both sexes
2018-06-30,New Brunswick,15,85 years and over,Males
2018-06-30,New Brunswick,30,85 years and over,Females
2018-07-07,New Brunswick,120,all ages,Both sexes
2018-07-07,New Brunswick,55,all ages,Males
2018-07-07,New Brunswick,65,all ages,Females
2018-07-07,New Brunswick,5,0 to 44 years,Both sexes
2018-07-07,New Brunswick,0,0 to 44 years,Males
2018-07-07,New Brunswick,5,0 to 44 years,Females
2018-07-07,New Brunswick,25,45 to 64 years,Both sexes
2018-07-07,New Brunswick,15,45 to 64 years,Males
2018-07-07,New Brunswick,5,45 to 64 years,Females
2018-07-07,New Brunswick,60,65 to 84 years,Both sexes
2018-07-07,New Brunswick,25,65 to 84 years,Males
2018-07-07,New Brunswick,25,65 to 84 years,Females
2018-07-07,New Brunswick,35,85 years and over,Both sexes
2018-07-07,New Brunswick,10,85 years and over,Males
2018-07-07,New Brunswick,20,85 years and over,Females
2018-07-14,New Brunswick,135,all ages,Both sexes
2018-07-14,New Brunswick,65,all ages,Males
2018-07-14,New Brunswick,70,all ages,Females
2018-07-14,New Brunswick,5,0 to 44 years,Both sexes
2018-07-14,New Brunswick,0,0 to 44 years,Males
2018-07-14,New Brunswick,0,0 to 44 years,Females
2018-07-14,New Brunswick,15,45 to 64 years,Both sexes
2018-07-14,New Brunswick,5,45 to 64 years,Males
2018-07-14,New Brunswick,10,45 to 64 years,Females
2018-07-14,New Brunswick,75,65 to 84 years,Both sexes
2018-07-14,New Brunswick,40,65 to 84 years,Males
2018-07-14,New Brunswick,30,65 to 84 years,Females
2018-07-14,New Brunswick,45,85 years and over,Both sexes
2018-07-14,New Brunswick,20,85 years and over,Males
2018-07-14,New Brunswick,30,85 years and over,Females
2018-07-21,New Brunswick,125,all ages,Both sexes
2018-07-21,New Brunswick,50,all ages,Males
2018-07-21,New Brunswick,70,all ages,Females
2018-07-21,New Brunswick,5,0 to 44 years,Both sexes
2018-07-21,New Brunswick,5,0 to 44 years,Males
2018-07-21,New Brunswick,0,0 to 44 years,Females
2018-07-21,New Brunswick,20,45 to 64 years,Both sexes
2018-07-21,New Brunswick,10,45 to 64 years,Males
2018-07-21,New Brunswick,5,45 to 64 years,Females
2018-07-21,New Brunswick,50,65 to 84 years,Both sexes
2018-07-21,New Brunswick,25,65 to 84 years,Males
2018-07-21,New Brunswick,30,65 to 84 years,Females
2018-07-21,New Brunswick,45,85 years and over,Both sexes
2018-07-21,New Brunswick,15,85 years and over,Males
2018-07-21,New Brunswick,30,85 years and over,Females
2018-07-28,New Brunswick,115,all ages,Both sexes
2018-07-28,New Brunswick,55,all ages,Males
2018-07-28,New Brunswick,60,all ages,Females
2018-07-28,New Brunswick,5,0 to 44 years,Both sexes
2018-07-28,New Brunswick,5,0 to 44 years,Males
2018-07-28,New Brunswick,0,0 to 44 years,Females
2018-07-28,New Brunswick,15,45 to 64 years,Both sexes
2018-07-28,New Brunswick,10,45 to 64 years,Males
2018-07-28,New Brunswick,5,45 to 64 years,Females
2018-07-28,New Brunswick,45,65 to 84 years,Both sexes
2018-07-28,New Brunswick,25,65 to 84 years,Males
2018-07-28,New Brunswick,15,65 to 84 years,Females
2018-07-28,New Brunswick,50,85 years and over,Both sexes
2018-07-28,New Brunswick,15,85 years and over,Males
2018-07-28,New Brunswick,30,85 years and over,Females
2018-08-04,New Brunswick,140,all ages,Both sexes
2018-08-04,New Brunswick,65,all ages,Males
2018-08-04,New Brunswick,75,all ages,Females
2018-08-04,New Brunswick,10,0 to 44 years,Both sexes
2018-08-04,New Brunswick,5,0 to 44 years,Males
2018-08-04,New Brunswick,0,0 to 44 years,Females
2018-08-04,New Brunswick,20,45 to 64 years,Both sexes
2018-08-04,New Brunswick,10,45 to 64 years,Males
2018-08-04,New Brunswick,10,45 to 64 years,Females
2018-08-04,New Brunswick,60,65 to 84 years,Both sexes
2018-08-04,New Brunswick,30,65 to 84 years,Males
2018-08-04,New Brunswick,25,65 to 84 years,Females
2018-08-04,New Brunswick,55,85 years and over,Both sexes
2018-08-04,New Brunswick,20,85 years and over,Males
2018-08-04,New Brunswick,35,85 years and over,Females
2018-08-11,New Brunswick,130,all ages,Both sexes
2018-08-11,New Brunswick,70,all ages,Males
2018-08-11,New Brunswick,60,all ages,Females
2018-08-11,New Brunswick,10,0 to 44 years,Both sexes
2018-08-11,New Brunswick,5,0 to 44 years,Males
2018-08-11,New Brunswick,5,0 to 44 years,Females
2018-08-11,New Brunswick,15,45 to 64 years,Both sexes
2018-08-11,New Brunswick,5,45 to 64 years,Males
