Date,GEO,value,Age,Sex
2018-08-11,New Brunswick,5,45 to 64 years,Females
2018-08-11,New Brunswick,75,65 to 84 years,Both sexes
2018-08-11,New Brunswick,50,65 to 84 years,Males
2018-08-11,New Brunswick,25,65 to 84 years,Females
2018-08-11,New Brunswick,35,85 years and over,Both sexes
2018-08-11,New Brunswick,10,85 years and over,Males
2018-08-11,New Brunswick,25,85 years and over,Females
2018-08-18,New Brunswick,145,all ages,Both sexes
2018-08-18,New Brunswick,80,all ages,Males
2018-08-18,New Brunswick,60,all ages,Females
2018-08-18,New Brunswick,10,0 to 44 years,Both sexes
2018-08-18,New Brunswick,5,0 to 44 years,Males
2018-08-18,New Brunswick,0,0 to 44 years,Females
2018-08-18,New Brunswick,20,45 to 64 years,Both sexes
2018-08-18,New Brunswick,15,45 to 64 years,Males
2018-08-18,New Brunswick,5,45 to 64 years,Females
2018-08-18,New Brunswick,65,65 to 84 years,Both sexes
2018-08-18,New Brunswick,40,65 to 84 years,Males
2018-08-18,New Brunswick,30,65 to 84 years,Females
2018-08-18,New Brunswick,50,85 years and over,Both sexes
2018-08-18,New Brunswick,20,85 years and over,Males
2018-08-18,New Brunswick,30,85 years and over,Females
2018-08-25,New Brunswick,120,all ages,Both sexes
2018-08-25,New Brunswick,55,all ages,Males
2018-08-25,New Brunswick,65,all ages,Females
2018-08-25,New Brunswick,5,0 to 44 years,Both sexes
2018-08-25,New Brunswick,0,0 to 44 years,Males
2018-08-25,New Brunswick,5,0 to 44 years,Females
2018-08-25,New Brunswick,20,45 to 64 years,Both sexes
2018-08-25,New Brunswick,15,45 to 64 years,Males
2018-08-25,New Brunswick,5,45 to 64 years,Females
2018-08-25,New Brunswick,55,65 to 84 years,Both sexes
2018-08-25,New Brunswick,30,65 to 84 years,Males
2018-08-25,New Brunswick,25,65 to 84 years,Females
2018-08-25,New Brunswick,45,85 years and over,Both sexes
2018-08-25,New Brunswick,15,85 years and over,Males
2018-08-25,New Brunswick,30,85 years and over,Females
2018-09-01,New Brunswick,150,all ages,Both sexes
2018-09-01,New Brunswick,75,all ages,Males
2018-09-01,New Brunswick,75,all ages,Females
2018-09-01,New Brunswick,5,0 to 44 years,Both sexes
2018-09-01,New Brunswick,5,0 to 44 years,Males
2018-09-01,New Brunswick,5,0 to 44 years,Females
2018-09-01,New Brunswick,15,45 to 64 years,Both sexes
2018-09-01,New Brunswick,5,45 to 64 years,Males
2018-09-01,New Brunswick,10,45 to 64 years,Females
