Date,GEO,value,Age,Sex,Characteristics
2018-10-20,Canada,1925,85 years and over,Both sexes,Number of deaths
2018-10-20,Newfoundland and Labrador,115,all ages,Both sexes,Number of deaths
2018-10-20,Newfoundland and Labrador,0,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Newfoundland and Labrador,10,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Newfoundland and Labrador,60,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Newfoundland and Labrador,30,85 years and over,Both sexes,Number of deaths
2018-10-20,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-10-20,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Prince Edward Island,0,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Prince Edward Island,15,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-10-20,Nova Scotia,175,all ages,Both sexes,Number of deaths
2018-10-20,Nova Scotia,5,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Nova Scotia,25,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Nova Scotia,80,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Nova Scotia,60,85 years and over,Both sexes,Number of deaths
2018-10-20,New Brunswick,145,all ages,Both sexes,Number of deaths
2018-10-20,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-10-20,New Brunswick,20,45 to 64 years,Both sexes,Number of deaths
2018-10-20,New Brunswick,70,65 to 84 years,Both sexes,Number of deaths
2018-10-20,New Brunswick,40,85 years and over,Both sexes,Number of deaths
2018-10-20,Quebec,1260,all ages,Both sexes,Number of deaths
2018-10-20,Quebec,25,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Quebec,175,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Quebec,610,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Quebec,450,85 years and over,Both sexes,Number of deaths
2018-10-20,Ontario,2000,all ages,Both sexes,Number of deaths
2018-10-20,Ontario,110,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Ontario,295,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Ontario,860,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Ontario,735,85 years and over,Both sexes,Number of deaths
2018-10-20,Manitoba,215,all ages,Both sexes,Number of deaths
2018-10-20,Manitoba,10,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Manitoba,45,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Manitoba,80,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Manitoba,80,85 years and over,Both sexes,Number of deaths
2018-10-20,Saskatchewan,200,all ages,Both sexes,Number of deaths
2018-10-20,Saskatchewan,10,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Saskatchewan,30,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Saskatchewan,90,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Saskatchewan,70,85 years and over,Both sexes,Number of deaths
2018-10-20,Alberta,515,all ages,Both sexes,Number of deaths
2018-10-20,Alberta,20,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Alberta,95,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Alberta,225,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Alberta,175,85 years and over,Both sexes,Number of deaths
2018-10-20,British Columbia,765,all ages,Both sexes,Number of deaths
2018-10-20,British Columbia,45,0 to 44 years,Both sexes,Number of deaths
2018-10-20,British Columbia,115,45 to 64 years,Both sexes,Number of deaths
2018-10-20,British Columbia,335,65 to 84 years,Both sexes,Number of deaths
2018-10-20,British Columbia,270,85 years and over,Both sexes,Number of deaths
2018-10-20,Yukon,,all ages,Both sexes,Number of deaths
2018-10-20,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Yukon,,85 years and over,Both sexes,Number of deaths
2018-10-20,Northwest Territories,5,all ages,Both sexes,Number of deaths
2018-10-20,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Northwest Territories,5,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-10-20,Nunavut,5,all ages,Both sexes,Number of deaths
2018-10-20,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-10-20,Nunavut,0,45 to 64 years,Both sexes,Number of deaths
2018-10-20,Nunavut,5,65 to 84 years,Both sexes,Number of deaths
2018-10-20,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-10-27,Canada,5460,all ages,Both sexes,Number of deaths
2018-10-27,Canada,265,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Canada,780,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Canada,2355,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Canada,2060,85 years and over,Both sexes,Number of deaths
2018-10-27,Newfoundland and Labrador,105,all ages,Both sexes,Number of deaths
2018-10-27,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Newfoundland and Labrador,10,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Newfoundland and Labrador,50,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Newfoundland and Labrador,35,85 years and over,Both sexes,Number of deaths
2018-10-27,Prince Edward Island,20,all ages,Both sexes,Number of deaths
2018-10-27,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Prince Edward Island,0,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Prince Edward Island,10,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-10-27,Nova Scotia,155,all ages,Both sexes,Number of deaths
2018-10-27,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Nova Scotia,30,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Nova Scotia,75,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Nova Scotia,45,85 years and over,Both sexes,Number of deaths
2018-10-27,New Brunswick,160,all ages,Both sexes,Number of deaths
2018-10-27,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-10-27,New Brunswick,25,45 to 64 years,Both sexes,Number of deaths
2018-10-27,New Brunswick,80,65 to 84 years,Both sexes,Number of deaths
2018-10-27,New Brunswick,50,85 years and over,Both sexes,Number of deaths
2018-10-27,Quebec,1365,all ages,Both sexes,Number of deaths
2018-10-27,Quebec,40,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Quebec,180,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Quebec,615,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Quebec,530,85 years and over,Both sexes,Number of deaths
2018-10-27,Ontario,1955,all ages,Both sexes,Number of deaths
2018-10-27,Ontario,85,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Ontario,280,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Ontario,815,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Ontario,775,85 years and over,Both sexes,Number of deaths
2018-10-27,Manitoba,245,all ages,Both sexes,Number of deaths
2018-10-27,Manitoba,20,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Manitoba,35,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Manitoba,105,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Manitoba,80,85 years and over,Both sexes,Number of deaths
2018-10-27,Saskatchewan,180,all ages,Both sexes,Number of deaths
2018-10-27,Saskatchewan,10,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Saskatchewan,25,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Saskatchewan,75,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Saskatchewan,70,85 years and over,Both sexes,Number of deaths
2018-10-27,Alberta,510,all ages,Both sexes,Number of deaths
2018-10-27,Alberta,50,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Alberta,75,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Alberta,210,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Alberta,175,85 years and over,Both sexes,Number of deaths
2018-10-27,British Columbia,765,all ages,Both sexes,Number of deaths
2018-10-27,British Columbia,40,0 to 44 years,Both sexes,Number of deaths
2018-10-27,British Columbia,120,45 to 64 years,Both sexes,Number of deaths
2018-10-27,British Columbia,325,65 to 84 years,Both sexes,Number of deaths
2018-10-27,British Columbia,285,85 years and over,Both sexes,Number of deaths
2018-10-27,Yukon,,all ages,Both sexes,Number of deaths
2018-10-27,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Yukon,,85 years and over,Both sexes,Number of deaths
2018-10-27,Northwest Territories,0,all ages,Both sexes,Number of deaths
2018-10-27,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Northwest Territories,0,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-10-27,Nunavut,5,all ages,Both sexes,Number of deaths
2018-10-27,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-10-27,Nunavut,0,45 to 64 years,Both sexes,Number of deaths
2018-10-27,Nunavut,0,65 to 84 years,Both sexes,Number of deaths
2018-10-27,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-11-03,Canada,5540,all ages,Both sexes,Number of deaths
2018-11-03,Canada,320,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Canada,740,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Canada,2345,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Canada,2130,85 years and over,Both sexes,Number of deaths
2018-11-03,Newfoundland and Labrador,90,all ages,Both sexes,Number of deaths
2018-11-03,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Newfoundland and Labrador,10,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Newfoundland and Labrador,45,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Newfoundland and Labrador,40,85 years and over,Both sexes,Number of deaths
2018-11-03,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-11-03,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Prince Edward Island,5,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Prince Edward Island,15,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Prince Edward Island,5,85 years and over,Both sexes,Number of deaths
2018-11-03,Nova Scotia,190,all ages,Both sexes,Number of deaths
2018-11-03,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Nova Scotia,25,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Nova Scotia,90,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Nova Scotia,70,85 years and over,Both sexes,Number of deaths
2018-11-03,New Brunswick,160,all ages,Both sexes,Number of deaths
2018-11-03,New Brunswick,10,0 to 44 years,Both sexes,Number of deaths
2018-11-03,New Brunswick,25,45 to 64 years,Both sexes,Number of deaths
2018-11-03,New Brunswick,70,65 to 84 years,Both sexes,Number of deaths
2018-11-03,New Brunswick,50,85 years and over,Both sexes,Number of deaths
2018-11-03,Quebec,1310,all ages,Both sexes,Number of deaths
2018-11-03,Quebec,50,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Quebec,145,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Quebec,585,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Quebec,530,85 years and over,Both sexes,Number of deaths
2018-11-03,Ontario,2140,all ages,Both sexes,Number of deaths
2018-11-03,Ontario,110,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Ontario,280,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Ontario,900,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Ontario,845,85 years and over,Both sexes,Number of deaths
2018-11-03,Manitoba,215,all ages,Both sexes,Number of deaths
2018-11-03,Manitoba,15,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Manitoba,30,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Manitoba,90,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Manitoba,80,85 years and over,Both sexes,Number of deaths
2018-11-03,Saskatchewan,190,all ages,Both sexes,Number of deaths
2018-11-03,Saskatchewan,15,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Saskatchewan,20,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Saskatchewan,65,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Saskatchewan,75,85 years and over,Both sexes,Number of deaths
2018-11-03,Alberta,490,all ages,Both sexes,Number of deaths
2018-11-03,Alberta,55,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Alberta,85,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Alberta,175,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Alberta,175,85 years and over,Both sexes,Number of deaths
2018-11-03,British Columbia,730,all ages,Both sexes,Number of deaths
2018-11-03,British Columbia,50,0 to 44 years,Both sexes,Number of deaths
2018-11-03,British Columbia,115,45 to 64 years,Both sexes,Number of deaths
2018-11-03,British Columbia,310,65 to 84 years,Both sexes,Number of deaths
2018-11-03,British Columbia,250,85 years and over,Both sexes,Number of deaths
2018-11-03,Yukon,,all ages,Both sexes,Number of deaths
2018-11-03,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Yukon,,85 years and over,Both sexes,Number of deaths
2018-11-03,Northwest Territories,5,all ages,Both sexes,Number of deaths
2018-11-03,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Northwest Territories,5,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-11-03,Nunavut,0,all ages,Both sexes,Number of deaths
2018-11-03,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-11-03,Nunavut,0,45 to 64 years,Both sexes,Number of deaths
2018-11-03,Nunavut,0,65 to 84 years,Both sexes,Number of deaths
2018-11-03,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-11-10,Canada,5465,all ages,Both sexes,Number of deaths
2018-11-10,Canada,275,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Canada,745,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Canada,2360,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Canada,2090,85 years and over,Both sexes,Number of deaths
2018-11-10,Newfoundland and Labrador,100,all ages,Both sexes,Number of deaths
2018-11-10,Newfoundland and Labrador,0,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Newfoundland and Labrador,10,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Newfoundland and Labrador,55,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Newfoundland and Labrador,35,85 years and over,Both sexes,Number of deaths
2018-11-10,Prince Edward Island,30,all ages,Both sexes,Number of deaths
2018-11-10,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Prince Edward Island,0,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Prince Edward Island,20,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-11-10,Nova Scotia,165,all ages,Both sexes,Number of deaths
2018-11-10,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Nova Scotia,20,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Nova Scotia,80,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Nova Scotia,55,85 years and over,Both sexes,Number of deaths
2018-11-10,New Brunswick,140,all ages,Both sexes,Number of deaths
2018-11-10,New Brunswick,0,0 to 44 years,Both sexes,Number of deaths
2018-11-10,New Brunswick,15,45 to 64 years,Both sexes,Number of deaths
2018-11-10,New Brunswick,70,65 to 84 years,Both sexes,Number of deaths
2018-11-10,New Brunswick,45,85 years and over,Both sexes,Number of deaths
2018-11-10,Quebec,1310,all ages,Both sexes,Number of deaths
2018-11-10,Quebec,30,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Quebec,155,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Quebec,635,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Quebec,495,85 years and over,Both sexes,Number of deaths
2018-11-10,Ontario,2075,all ages,Both sexes,Number of deaths
2018-11-10,Ontario,85,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Ontario,295,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Ontario,825,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Ontario,860,85 years and over,Both sexes,Number of deaths
2018-11-10,Manitoba,200,all ages,Both sexes,Number of deaths
2018-11-10,Manitoba,20,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Manitoba,30,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Manitoba,85,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Manitoba,70,85 years and over,Both sexes,Number of deaths
2018-11-10,Saskatchewan,180,all ages,Both sexes,Number of deaths
2018-11-10,Saskatchewan,15,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Saskatchewan,25,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Saskatchewan,70,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Saskatchewan,75,85 years and over,Both sexes,Number of deaths
2018-11-10,Alberta,535,all ages,Both sexes,Number of deaths
2018-11-10,Alberta,60,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Alberta,90,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Alberta,205,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Alberta,180,85 years and over,Both sexes,Number of deaths
2018-11-10,British Columbia,720,all ages,Both sexes,Number of deaths
2018-11-10,British Columbia,50,0 to 44 years,Both sexes,Number of deaths
2018-11-10,British Columbia,90,45 to 64 years,Both sexes,Number of deaths
2018-11-10,British Columbia,315,65 to 84 years,Both sexes,Number of deaths
2018-11-10,British Columbia,260,85 years and over,Both sexes,Number of deaths
2018-11-10,Yukon,,all ages,Both sexes,Number of deaths
2018-11-10,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Yukon,,85 years and over,Both sexes,Number of deaths
2018-11-10,Northwest Territories,10,all ages,Both sexes,Number of deaths
2018-11-10,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Northwest Territories,5,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Northwest Territories,5,85 years and over,Both sexes,Number of deaths
2018-11-10,Nunavut,0,all ages,Both sexes,Number of deaths
2018-11-10,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-11-10,Nunavut,0,45 to 64 years,Both sexes,Number of deaths
2018-11-10,Nunavut,0,65 to 84 years,Both sexes,Number of deaths
2018-11-10,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-11-17,Canada,5485,all ages,Both sexes,Number of deaths
2018-11-17,Canada,260,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Canada,810,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Canada,2360,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Canada,2050,85 years and over,Both sexes,Number of deaths
2018-11-17,Newfoundland and Labrador,105,all ages,Both sexes,Number of deaths
2018-11-17,Newfoundland and Labrador,10,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Newfoundland and Labrador,15,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Newfoundland and Labrador,55,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Newfoundland and Labrador,30,85 years and over,Both sexes,Number of deaths
2018-11-17,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-11-17,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Prince Edward Island,10,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Prince Edward Island,10,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-11-17,Nova Scotia,210,all ages,Both sexes,Number of deaths
2018-11-17,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Nova Scotia,35,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Nova Scotia,90,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Nova Scotia,75,85 years and over,Both sexes,Number of deaths
2018-11-17,New Brunswick,140,all ages,Both sexes,Number of deaths
2018-11-17,New Brunswick,10,0 to 44 years,Both sexes,Number of deaths
2018-11-17,New Brunswick,25,45 to 64 years,Both sexes,Number of deaths
2018-11-17,New Brunswick,65,65 to 84 years,Both sexes,Number of deaths
2018-11-17,New Brunswick,45,85 years and over,Both sexes,Number of deaths
2018-11-17,Quebec,1315,all ages,Both sexes,Number of deaths
2018-11-17,Quebec,40,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Quebec,175,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Quebec,585,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Quebec,515,85 years and over,Both sexes,Number of deaths
2018-11-17,Ontario,2025,all ages,Both sexes,Number of deaths
2018-11-17,Ontario,75,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Ontario,295,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Ontario,870,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Ontario,780,85 years and over,Both sexes,Number of deaths
2018-11-17,Manitoba,200,all ages,Both sexes,Number of deaths
2018-11-17,Manitoba,15,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Manitoba,30,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Manitoba,90,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Manitoba,65,85 years and over,Both sexes,Number of deaths
2018-11-17,Saskatchewan,205,all ages,Both sexes,Number of deaths
2018-11-17,Saskatchewan,20,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Saskatchewan,25,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Saskatchewan,85,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Saskatchewan,75,85 years and over,Both sexes,Number of deaths
2018-11-17,Alberta,510,all ages,Both sexes,Number of deaths
2018-11-17,Alberta,45,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Alberta,100,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Alberta,200,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Alberta,160,85 years and over,Both sexes,Number of deaths
2018-11-17,British Columbia,740,all ages,Both sexes,Number of deaths
2018-11-17,British Columbia,45,0 to 44 years,Both sexes,Number of deaths
2018-11-17,British Columbia,105,45 to 64 years,Both sexes,Number of deaths
2018-11-17,British Columbia,300,65 to 84 years,Both sexes,Number of deaths
2018-11-17,British Columbia,290,85 years and over,Both sexes,Number of deaths
2018-11-17,Yukon,,all ages,Both sexes,Number of deaths
2018-11-17,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Yukon,,85 years and over,Both sexes,Number of deaths
2018-11-17,Northwest Territories,5,all ages,Both sexes,Number of deaths
2018-11-17,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Northwest Territories,5,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-11-17,Nunavut,5,all ages,Both sexes,Number of deaths
2018-11-17,Nunavut,5,0 to 44 years,Both sexes,Number of deaths
2018-11-17,Nunavut,5,45 to 64 years,Both sexes,Number of deaths
2018-11-17,Nunavut,0,65 to 84 years,Both sexes,Number of deaths
2018-11-17,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-11-24,Canada,5455,all ages,Both sexes,Number of deaths
2018-11-24,Canada,280,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Canada,795,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Canada,2335,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Canada,2040,85 years and over,Both sexes,Number of deaths
2018-11-24,Newfoundland and Labrador,115,all ages,Both sexes,Number of deaths
2018-11-24,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Newfoundland and Labrador,15,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Newfoundland and Labrador,60,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Newfoundland and Labrador,35,85 years and over,Both sexes,Number of deaths
2018-11-24,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-11-24,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Prince Edward Island,5,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Prince Edward Island,10,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-11-24,Nova Scotia,210,all ages,Both sexes,Number of deaths
2018-11-24,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Nova Scotia,30,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Nova Scotia,100,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Nova Scotia,75,85 years and over,Both sexes,Number of deaths
2018-11-24,New Brunswick,130,all ages,Both sexes,Number of deaths
2018-11-24,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-11-24,New Brunswick,15,45 to 64 years,Both sexes,Number of deaths
2018-11-24,New Brunswick,65,65 to 84 years,Both sexes,Number of deaths
2018-11-24,New Brunswick,45,85 years and over,Both sexes,Number of deaths
2018-11-24,Quebec,1275,all ages,Both sexes,Number of deaths
2018-11-24,Quebec,45,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Quebec,185,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Quebec,540,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Quebec,510,85 years and over,Both sexes,Number of deaths
2018-11-24,Ontario,2085,all ages,Both sexes,Number of deaths
2018-11-24,Ontario,100,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Ontario,305,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Ontario,900,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Ontario,780,85 years and over,Both sexes,Number of deaths
2018-11-24,Manitoba,185,all ages,Both sexes,Number of deaths
2018-11-24,Manitoba,15,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Manitoba,30,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Manitoba,80,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Manitoba,65,85 years and over,Both sexes,Number of deaths
2018-11-24,Saskatchewan,190,all ages,Both sexes,Number of deaths
2018-11-24,Saskatchewan,10,0 to 44 years,Both sexes,Number of deaths
2018-11-24,Saskatchewan,25,45 to 64 years,Both sexes,Number of deaths
2018-11-24,Saskatchewan,70,65 to 84 years,Both sexes,Number of deaths
2018-11-24,Saskatchewan,80,85 years and over,Both sexes,Number of deaths
2018-11-24,Alberta,485,all ages,Both sexes,Number of deaths
