Date,GEO,value,Age,Sex,Characteristics
2018-01-13,Newfoundland and Labrador,55,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,35,85 years and over,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,5,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,0,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,15,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-01-13,Nova Scotia,190,all ages,Both sexes,Number of deaths
2018-01-13,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Nova Scotia,35,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Nova Scotia,95,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Nova Scotia,55,85 years and over,Both sexes,Number of deaths
2018-01-13,New Brunswick,185,all ages,Both sexes,Number of deaths
2018-01-13,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-01-13,New Brunswick,30,45 to 64 years,Both sexes,Number of deaths
2018-01-13,New Brunswick,85,65 to 84 years,Both sexes,Number of deaths
2018-01-13,New Brunswick,60,85 years and over,Both sexes,Number of deaths
2018-01-13,Quebec,1685,all ages,Both sexes,Number of deaths
2018-01-13,Quebec,40,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Quebec,195,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Quebec,740,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Quebec,710,85 years and over,Both sexes,Number of deaths
2018-01-13,Ontario,2560,all ages,Both sexes,Number of deaths
2018-01-13,Ontario,105,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Ontario,355,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Ontario,1050,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Ontario,1050,85 years and over,Both sexes,Number of deaths
2018-01-13,Manitoba,270,all ages,Both sexes,Number of deaths
2018-01-13,Manitoba,10,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Manitoba,35,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Manitoba,100,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Manitoba,120,85 years and over,Both sexes,Number of deaths
2018-01-13,Saskatchewan,225,all ages,Both sexes,Number of deaths
2018-01-13,Saskatchewan,15,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Saskatchewan,30,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Saskatchewan,95,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Saskatchewan,90,85 years and over,Both sexes,Number of deaths
2018-01-13,Alberta,575,all ages,Both sexes,Number of deaths
2018-01-13,Alberta,35,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Alberta,100,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Alberta,215,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Alberta,225,85 years and over,Both sexes,Number of deaths
2018-01-13,British Columbia,825,all ages,Both sexes,Number of deaths
2018-01-13,British Columbia,35,0 to 44 years,Both sexes,Number of deaths
2018-01-13,British Columbia,90,45 to 64 years,Both sexes,Number of deaths
2018-01-13,British Columbia,340,65 to 84 years,Both sexes,Number of deaths
2018-01-13,British Columbia,350,85 years and over,Both sexes,Number of deaths
2018-01-13,Yukon,,all ages,Both sexes,Number of deaths
2018-01-13,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Yukon,,85 years and over,Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,all ages,Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Northwest Territories,5,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-01-13,Nunavut,5,all ages,Both sexes,Number of deaths
2018-01-13,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Nunavut,0,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Nunavut,0,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-01-20,Canada,6555,all ages,Both sexes,Number of deaths
2018-01-20,Canada,285,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Canada,865,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Canada,2790,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Canada,2605,85 years and over,Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,110,all ages,Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,20,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,60,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Newfoundland and Labrador,30,85 years and over,Both sexes,Number of deaths
2018-01-20,Prince Edward Island,35,all ages,Both sexes,Number of deaths
2018-01-20,Prince Edward Island,0,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Prince Edward Island,0,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Prince Edward Island,20,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-01-20,Nova Scotia,220,all ages,Both sexes,Number of deaths
2018-01-20,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Nova Scotia,35,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Nova Scotia,100,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Nova Scotia,75,85 years and over,Both sexes,Number of deaths
2018-01-20,New Brunswick,175,all ages,Both sexes,Number of deaths
2018-01-20,New Brunswick,10,0 to 44 years,Both sexes,Number of deaths
2018-01-20,New Brunswick,25,45 to 64 years,Both sexes,Number of deaths
2018-01-20,New Brunswick,65,65 to 84 years,Both sexes,Number of deaths
2018-01-20,New Brunswick,70,85 years and over,Both sexes,Number of deaths
2018-01-20,Quebec,1695,all ages,Both sexes,Number of deaths
2018-01-20,Quebec,40,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Quebec,205,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Quebec,785,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Quebec,660,85 years and over,Both sexes,Number of deaths
2018-01-20,Ontario,2410,all ages,Both sexes,Number of deaths
2018-01-20,Ontario,90,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Ontario,320,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Ontario,990,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Ontario,1015,85 years and over,Both sexes,Number of deaths
2018-01-20,Manitoba,270,all ages,Both sexes,Number of deaths
2018-01-20,Manitoba,20,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Manitoba,35,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Manitoba,100,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Manitoba,115,85 years and over,Both sexes,Number of deaths
2018-01-20,Saskatchewan,205,all ages,Both sexes,Number of deaths
2018-01-20,Saskatchewan,15,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Saskatchewan,25,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Saskatchewan,75,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Saskatchewan,90,85 years and over,Both sexes,Number of deaths
2018-01-20,Alberta,595,all ages,Both sexes,Number of deaths
2018-01-20,Alberta,60,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Alberta,85,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Alberta,255,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Alberta,195,85 years and over,Both sexes,Number of deaths
2018-01-20,British Columbia,840,all ages,Both sexes,Number of deaths
2018-01-20,British Columbia,45,0 to 44 years,Both sexes,Number of deaths
2018-01-20,British Columbia,115,45 to 64 years,Both sexes,Number of deaths
2018-01-20,British Columbia,335,65 to 84 years,Both sexes,Number of deaths
2018-01-20,British Columbia,335,85 years and over,Both sexes,Number of deaths
2018-01-20,Yukon,,all ages,Both sexes,Number of deaths
2018-01-20,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Yukon,,85 years and over,Both sexes,Number of deaths
2018-01-20,Northwest Territories,5,all ages,Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,65 to 84 years,Both sexes,Number of deaths
2018-01-20,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-01-20,Nunavut,5,all ages,Both sexes,Number of deaths
2018-01-20,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-01-20,Nunavut,5,45 to 64 years,Both sexes,Number of deaths
2018-01-20,Nunavut,5,65 to 84 years,Both sexes,Number of deaths
